SAMPLE_KEY,smiles
BJ1896550,CCOC(=O)c1ccc(NC2CCCCC2)c(N)c1
BJ1896826,S=C(NC1CCCCC1)N1CCC(CC1)c1c[nH]cn1
BJ1896947,COc1ccc(Nc2ccn(n2)-c2ccccc2)cc1
BJ1894553,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
BJ1894498,Nc1ncnc2n(cnc12)C1OC(CO)C(O)C1O
BJ1896355,[H][C@@]12C[C@@]3(C)CCC[C@H](C)C3=C[C@]1([H])C(=C)C(=O)O2 |c:11|
BJ1896454,Cc1ccc(NC(=O)c2cccc(c2)C(C)(C)C#N)cc1Nc1ccc2ncn(C)c(=O)c2c1
BJ1896144,FC(F)(F)c1ccc(\C=C\c2nc(COc3ccc(CCCCn4ccnn4)cc3)co2)cc1
BJ1895789,Oc1ncnc2ccccc12
BJ1896179,COc1cc(NC(=O)c2ccccn2)ccc1Cl
BJ1895791,Cc1nc2sccn2c(=O)c1CCN1CCC(CC1)=C(c1ccccc1)c1ccc(F)cc1
BJ1896529,O=C(COc1ccc(cc1)C(=O)c1ccccc1)NC1CCN(Cc2ccccc2)CC1
BJ1896076,[O-][N+](=O)c1cnc(Sc2n[nH]c(=O)n2-c2ccc3OCCOc3c2)s1
BJ1896438,CC(C)(C)CC(=O)Nc1c(F)cc(cc1F)C(=O)\N=c1/sccn1COP(O)(O)=O
BJ1896511,CCOC(=O)c1cc2ccc(O)cc2oc1=O
BJ1895797,CC(C)c1ccccc1S(=O)(=O)c1cc(N)c2ncccc2c1[N+]([O-])=O
BJ1896493,FC(F)(F)c1cccc(c1)N1CCN(CC1)c1cc(=O)n(C2CCCCC2)c(=O)[nH]1
BJ1896428,CN1CCN(CC1)c1cc(nc(N)n1)-c1ccccc1
