compound,PC1,PC2,smiles
BJ1894579,99.47616036421203,3.4016711192378115,Nc1ccc(cc1)S(=O)(=O)c1ccc(N)cc1
BJ1896344,96.47823439031876,18.22239167962209,FC(F)(F)c1cccc(NC(=O)Nc2ccc(Br)cc2-c2nnn[nH]2)c1
BJ1894173,87.243295536792,27.397521373539306,CC(C(=O)OC1CC2CCC(C1)N2C)c1ccc(Br)cc1
BJ1895999,76.77370479630385,2.886488148192311,Clc1cccc(-c2nnnn2Cc2cccnc2)c1Cl
BJ1894166,77.50795120733407,7.422574193528559,COc1ccc2[nH]c(I)c(CCNC(C)=O)c2c1
BJ1896556,73.78775997314311,-3.249230403557372,CCn1c2nc(Nc3ccc(N4CCNCC4)c(F)c3)ncc2cc(-c2ccc(Cl)cc2Cl)c1=O
BJ1895705,58.63846616843522,-5.076787182593564,CS(=O)(=O)c1ccc(Cn2c3C(CC(O)=O)CCCc3c3cc(F)cc(F)c23)cc1
BJ1894040,70.78597921939097,-5.31159934442865,CC(=O)NCCc1c[nH]c2ccccc12
BJ1894193,102.40111030633796,29.400346133128988,CCCN(C\C=C\I)C1CCc2cccc(O)c2C1
BJ1896389,69.0527285215112,-8.188204020168893,OCCNC(=O)c1cc(cc(c1)C(=O)NCCO)C(=O)NCCO
BJ1896486,85.79230219420612,7.844325004309917,C(Nc1ncnc2oc(c(-c3ccccc3)c12)-c1ccccc1)[C@@H]1CCCO1
BJ1894211,83.91464713494494,4.382220220466477,CC(=O)NCCc1c(Cc2ccccc2)[nH]c2ccccc12
BJ1895765,86.04793894658285,4.516722146359119,[H][C@@]12CCc3cc(ccc3[C@@]1(C)CCC[C@@]2(C)CN)C(C)C
BJ1896442,58.855816908107336,-14.30998398078527,CC1CCc2c(cc(Br)c(F)c2Br)N1C=O
BJ1896341,66.76800195677477,20.871126943246235,[O-][N+](=O)c1ccc(cc1)C(=O)Nc1cc(nn1-c1ccccc1)-c1ccccc1
BJ1894197,75.81763791658487,20.04145015406999,CN\C(NCCSCc1csc(N=C(N)N)n1)=N/C#N
BJ1894390,68.9217050258446,-14.64933687261277,OC(=O)C1=CCCN(CCOC(c2ccc(cc2)C(F)(F)F)c2ccc(cc2)C(F)(F)F)C1 |t:3|
BJ1895621,8.774414618796946,30.70846559496909,CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1
BJ1896020,63.69137425930757,-14.90770926685854,"[H][C@@]12CC(C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C |c:28,t:24|"
BJ1894495,71.77024740276366,-10.18246547273953,CC(=O)Nc1nnc(s1)S(N)(=O)=O
